Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTraining/dayClip6--00000.jpg;stop;506;354;518;372;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip6--00000.jpg;stopLeft;595;423;613;454;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip6--00001.jpg;stop;504;352;516;370;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip6--00001.jpg;stopLeft;591;424;612;446;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip6--00002.jpg;stop;500;346;512;364;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip6--00003.jpg;stop;496;340;508;358;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00003.jpg;stop;787;350;799;368;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00003.jpg;stopLeft;590;415;602;437;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00004.jpg;stop;492;336;504;354;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip6--00004.jpg;stop;784;339;802;366;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip6--00006.jpg;stop;484;334;496;352;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip6--00006.jpg;stop;784;342;796;360;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip6--00006.jpg;stopLeft;580;412;598;430;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip6--00007.jpg;stop;480;332;492;350;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip6--00007.jpg;stop;782;340;794;358;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip6--00008.jpg;stop;476;331;488;358;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip6--00008.jpg;stop;782;340;794;358;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip6--00008.jpg;stopLeft;578;412;590;430;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;8
