Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTraining/dayClip6--00000.jpg;stop;510;356;514;360;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip6--00000.jpg;stop;793;364;796;368;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip6--00000.jpg;stopLeft;601;427;607;434;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip6--00001.jpg;stop;508;354;512;358;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip6--00001.jpg;stop;793;362;796;366;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip6--00001.jpg;stopLeft;598;427;605;432;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip6--00002.jpg;stop;504;348;508;352;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip6--00002.jpg;stop;792;357;796;360;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip6--00002.jpg;stopLeft;598;423;602;426;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip6--00003.jpg;stop;500;342;504;346;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00003.jpg;stop;791;352;795;356;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00003.jpg;stopLeft;594;418;598;423;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip6--00004.jpg;stop;496;338;500;342;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip6--00004.jpg;stop;790;342;796;348;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip6--00004.jpg;stopLeft;591;414;594;418;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip6--00005.jpg;stop;492;335;496;338;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip6--00005.jpg;stop;789;343;792;346;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip6--00005.jpg;stopLeft;589;412;592;416;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip6--00006.jpg;stop;488;336;492;340;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip6--00006.jpg;stop;788;344;792;348;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip6/dayClip6Shutter0.000200-Gain-0.mp4;6
